text,intent
just curious how many left?,people_out
tell me what was the crowd maximum in this footage,peak
hey people out,people_out
people out in the last 20 minutes please,last_window
so how many people exited,people_out
how reliable are the detections overall,confidence
hello assistant,greet
could you tell me how many people went in,people_in
where is footfall heading,forecast
crossings hour by hour?,hourly
could you tell me hi bot please,greet
quick question most people at once overall,peak
how many folks departed?,people_out
can you tell me how reliable are the detections in this footage,confidence
quick question total crossings of people,people_total
hi,greet
could you tell me peak number of people,peak
please total people both directions exactly,people_total
so expected footfall ahead please,forecast
please how confident is the model overall,confidence
what's the trend,forecast
could you tell me brief me on this session please,summary
please what's the detection confidence in this footage,confidence
quick question predict the crowd for this session,forecast
summarise the session,summary
just curious what hour had most traffic right now,busiest_hour
morning,greet
hey how many people crossed for this session,people_total
just curious were there anomalies?,anomalies
please give me the hourly breakdown overall,hourly
did the crowd do anything odd,anomalies
i want to know what was the rush hour for this session,busiest_hour
so hi right now,greet
any unusual activity,anomalies
session overview,summary
combined in and out count,people_total
please count over the last half hour,last_window
just curious what's up,greet
session overview overall,summary
anything out of the ordinary right now,anomalies
is the crowd rising or falling right now,forecast
quick question hourly counts exactly,hourly
can you tell me hourly counts for this session,hourly
so biggest crowd recorded please,peak
just curious what do you know in this footage,help
quick question guide me for this session,help
so hi please,greet
quick question what hour had most traffic,busiest_hour
please how many folks departed in this footage,people_out
could you tell me hello,greet
could you tell me hi bot for this session,greet
crowd prediction right now,forecast
high level summary,summary
just curious yo exactly,greet
quick question in the previous twenty minutes how many walked through for this session,last_window
quick question outbound people count,people_out
so brief me on this session in this footage,summary
please how many went outward for this session,people_out
tell me split the counts by hour,hourly
number who walked out the other side,people_out
hey which period had the most people please,busiest_hour
tell me everything,summary
quick question when was the crowd biggest in this footage,peak
quick question what's up in this footage,greet
can you tell me what can you tell me,help
were there any surges,anomalies
just curious how busy with people in this footage,people_total
i want to know peak density please,peak
tell me per hour numbers exactly,hourly
please future crowd estimate in this footage,forecast
what's the overall report overall,summary
could you tell me hi exactly,greet
i want to know how many each hour,hourly
so how many humans crossed the line right now,people_total
i want to know where is the crowd heading next in this footage,forecast
just curious give me the hourly breakdown,hourly
could you tell me how accurate is it please,confidence
largest crowd size,peak
hey how many people overall,people_total
predict the crowd,forecast
what's the trend for this session,forecast
just curious busiest moment?,peak
could you tell me most people at once right now,peak
tell me what are the kpis,summary
mean confidence?,confidence
tell me what's the detection confidence,confidence
people in the last hour,last_window
exits count,people_out
quick question how many crossed altogether right now,people_total
quick question how many in the past 15 minutes exactly,last_window
hey total entering the area right now,people_in
please were there abnormal crowd levels for this session,anomalies
so sum it up for me please,summary
when did footfall peak,busiest_hour
trend of the crowd,forecast
please what happened overall please,summary
so how sure is the detector overall,confidence
please largest crowd size overall,peak
so how sure is the detector in this footage,confidence
busiest period,busiest_hour
were there any surges for this session,anomalies
i want to know how many entered in the last 45 minutes overall,last_window
footfall during the last 5 mins,last_window
could you tell me footfall total,people_total
future crowd estimate please,forecast
how accurate is it,confidence
hey recent crossings last 10 min right now,last_window
largest crowd size overall,peak
sum it up for me,summary
could you tell me how many entered overall,people_in
maximum crowd,peak
what was the busiest moment in time,busiest_hour
tell me how many entered in the last 45 minutes please,last_window
could you tell me trend of the crowd,forecast
quick question how many headed away in this footage,people_out
which slot saw the most movement please,busiest_hour
quick question how many humans crossed the line,people_total
just curious people in please,people_in
can you tell me what was the peak crowd right now,peak
please what happened in the final 15 minutes exactly,last_window
i want to know how busy with people please,people_total
were there anomalies?,anomalies
could you tell me show me each hour for this session,hourly
so what are you capable of?,help
please what's the overall report overall,summary
crossings in the last 30 minutes,last_window
quick question how confident is the model exactly,confidence
i want to know recent crossings last 10 min,last_window
tell me expected footfall ahead for this session,forecast
good morning for this session,greet
